:ID,actor,:LABEL
20133,张建军 Jianjun Zhang,actor
20134,严志媛 Ji-won Uhm,actor
20135,维尼·琼斯 Vinnie Jones,actor
20136,Ezra Dagan,actor
20137,大卫·卡尔德 David Calder,actor
20138,程东 John Ching Tung,actor
20139,野村训市 Kunichi Nomura,actor
20140,希·庞德 CCH Pounder,actor
20141,Saveria Mazzola,actor
20142,小室正幸 Masayuki Omoro,actor
20143,田丰 Feng Tien,actor
20144,罗里·金尼尔 Rory Kinnear,actor
20145,名古屋章 Akira Nagoya,actor
20146,杰西·科尔蒂 Jesse Corti,actor
20147,Timmy Hawkins,actor
20148,尤娜·奥康纳 Una O&#39;Connor,actor
20149,伊桑·霍克 Ethan Hawke,actor
20150,金熙珍 Hie-Jin Kim,actor
20151,P·J·伯恩 P.J. Byrne,actor
20152,理查德·麦克格纳格尔 Richard McGonagle,actor
20153,让-保罗·博奈雷 Jean-Paul Bonnaire,actor
20154,瑞贝卡·詹姆斯 Rebecca James,actor
20155,周嘉玲 Valerie Chow,actor
20156,佐藤允 Makoto Satô,actor
20157,刘易斯·阿奎特 Lewis Arquette,actor
20158,埃丽萨·莫鲁奇 Elisa Morucci,actor
20159,井上喜久子 Kikuko Inoue,actor
20160,以利亚·罗德里格斯 Elijah Rodriguez,actor
20161,黄志明 Wong Chi-Ming,actor
20162,席尔帕.舒克拉 Shilpa Shukla,actor
20163,夏雨 Yu Xia,actor
20164,帕迪·康斯戴恩 Paddy Considine,actor
20165,杰克·罗思 Jack Roth,actor
20166,申文成 Mun-sung Shin,actor
20167,John Dodsworth,actor
20168,米兰达·理查森 Miranda Richardson,actor
20169,阿里-阿萨哈·萨哈巴齐 Ali-Asghar Shahbazi,actor
20170,让·达里 Jean Darie,actor
20171,三船敏郎 Toshirô Mifune,actor
20172,克里斯蒂安·巴伦西亚 Cristian Valencia,actor
20173,马提亚斯·布伦纳 Matthias Brenner,actor
20174,薇薇·卡登尼 Vivien Cardone,actor
20175,李大贤 Dae-hyeon Lee,actor
20176,菲利普·贝克·霍尔 Philip Baker Hall,actor
20177,杰米·威莱特 Jamie Waylett,actor
20178,大卫·安 David An,actor
20179,泰德·霍利斯 Ted Hollis,actor
20180,索·豪黑 Seu Jorge,actor
20181,朱宝意 Emily Chu,actor
20182,卡拉·梅迪纳 Carla Medina,actor
20183,Greg Stechman,actor
20184,黛布拉·威尔逊 Debra Wilson,actor
20185,朱莉·福塞斯 Julie Forsyth,actor
20186,安昭熙 So-hee Ahn,actor
20187,德拉·萨巴 Della Saba,actor
20188,萨米·纳塞利 Samy Naceri,actor
20189,玛吉·史密斯 Maggie Smith,actor
20190,戴布思·格里尔 Dabbs Greer,actor
20191,吉尼瓦·塔瓦尔 Jeneva Talwar,actor
20192,李梓 Zi Li,actor
20193,理查德·劳斯伯格 Richard Roxburgh,actor
20194,利亚姆·迪金森 Liam Dickinson,actor
20195,阿迪勒·侯赛因 Adil Hussain,actor
20196,Marco Tulli,actor
20197,阿雅·卡什 Aya Cash,actor
20198,斯科特·格伦 Scott Glenn,actor
20199,沈杭 Hang Shen,actor
20200,Judy Wyler,actor
20201,苏格拉底·奥图 Socratis Otto,actor
20202,Linda Kerns,actor
20203,蒂莫西·皮克勒斯 Timothy Pickles,actor
20204,Eugeniusz Priwieziencew,actor
20205,扎克·格雷尼尔 Zach Grenier,actor
20206,安东内洛·普利西 Antonello Puglisi,actor
20207,鲍勃·斯蒂芬森 Bob Stephenson,actor
20208,魏伯勤 Boqin Wei,actor
20209,乔治娜·雷尼达斯 Georgina Leonidas,actor
20210,王朔 Shuo Wang,actor
20211,彼得·布罗科 Peter Brocco,actor
20212,宫路佳具 Yoshimoto Miyaji,actor
20213,菅野莉央 Rio Kanno,actor
20214,伊斯特·斯高特 Esther Scott,actor
20215,Ed Geldart,actor
20216,马特·莱斯切尔 Matt Letscher,actor
20217,安迪·加西亚 Andy Garcia,actor
20218,彼得·安东尼·唐伯蒂斯 Peter Anthony Tambakis,actor
20219,金城武 Takeshi Kaneshiro,actor
20220,宫西美奈子 Minako Miyanishi,actor
20221,John Sigurdson,actor
20222,薇诺娜·瑞德 Winona Ryder,actor
20223,巴斯蒂安·特罗斯特 Bastian Trost,actor
20224,丹·巴特勒 Dan Butler,actor
20225,Gianna Segale,actor
20226,托弗·戈瑞斯 Topher Grace,actor
20227,尹尚林 Hsiang Lin Yin,actor
20228,布鲁斯·菲利普斯 Bruce Phillips,actor
20229,里奥·故罗塔 Leo Gullotta,actor
20230,约瑟夫·劳格诺 Joseph Ragno,actor
20231,Martin Bayfield,actor
20232,Christina Cabot,actor
20233,梅根·盖尔 Megan Gale,actor
20234,黄斐 Fei Huang,actor
20235,朴泰京 Tae-kyeong Park,actor
20236,安娜·奥菲丽亚·莫吉亚 Ana Ofelia Murguía,actor
20237,王传君 Chuanjun Wang,actor
20238,约翰·帕特里克·舒拉克 John Patrick Shulak,actor
