:ID,director,:LABEL
10135,奥里奥尔·保罗 Oriol Paulo,director
10136,李惠民 Raymond Lee,director
10137,黄东赫 Dong-hyuk Hwang,director
10138,陈可辛 Peter Chan,director
10139,李安 Ang Lee,director
10140,伏原健之 Kenshi Fushihara,director
10141,卡洛斯·沙尔丹哈 Carlos Saldanha,director
10142,乔治·库克 George Cukor,director
10143,高畑勋 Isao Takahata,director
10144,金秉祐 Byeong-woo Kim,director
10145,雅克·克鲁奥德 Jacques Cluzaud,director
10146,周星驰 Stephen Chow,director
10147,张欣 Xin Zhang,director
10148,周申 Shen Zhou,director
10149,克里斯·哥伦布 Chris Columbus,director
10150,斯坦利·库布里克 Stanley Kubrick,director
10151,罗曼·波兰斯基 Roman Polanski,director
10152,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn,director
10153,杰茜·尼尔森 Jessie Nelson,director
10154,比利·怀德 Billy Wilder,director
10155,陆庆屹 Qingyi Lu,director
10156,安德鲁·斯坦顿 Andrew Stanton,director
10157,马基德·马基迪 Majid Majidi,director
10158,克里斯托弗·诺兰 Christopher Nolan,director
10159,马丁·斯科塞斯 Martin Scorsese,director
10160,罗纳尔多·德尔·卡门 Ronaldo Del Carmen,director
10161,泷田洋二郎 Yôjirô Takita,director
10162,肯尼思·洛纳根 Kenneth Lonergan,director
10163,詹姆斯·沃德·布柯特 James Ward Byrkit,director
10164,柯克·德·米科 Kirk De Micco,director
10165,约翰·卡尼 John Carney,director
10166,温子仁 James Wan,director
10167,彼特·道格特 Pete Docter,director
10168,文牧野 Muye Wen,director
10169,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,director
10170,延尚昊 Sang-ho Yeon,director
10171,迪恩·德布洛斯 Dean DeBlois,director
10172,陈凯歌 Kaige Chen,director
10173,宁浩 Hao Ning,director
10174,李濬益 Jun-ik Lee,director
10175,张艺谋 Yimou Zhang,director
10176,华森·波克彭 Wasin pokpong,director
10177,韦斯·安德森 Wes Anderson,director
10178,大卫·芬奇 David Fincher,director
10179,乔纳森·戴米 Jonathan Demme,director
10180,严定宪 Dingxian Yan ,director
10181,徐景达 Jingda Xu,director
10182,万籁鸣 Laiming Wan,director
10183,查理·卓别林 Charles Chaplin,director
10184,伦尼·阿伯拉罕森 Lenny Abrahamson,director
10185,北野武 Takeshi Kitano,director
10186,克里斯托夫·巴拉蒂 Christophe Barratier,director
10187,蒂姆·波顿 Tim Burton,director
10188,巴瑞·莱文森 Barry Levinson,director
10189,吉恩·凯利 Gene Kelly,director
10190,史蒂芬·戴德利 Stephen Daldry,director
10191,莫滕·泰杜姆 Morten Tyldum,director
10192,汉内斯·赫尔姆 Hannes Holm,director
10193,M·奈特·沙马兰 M. Night Shyamalan,director
10194,乔·赖特 Joe Wright,director
10195,阿尼什·查甘蒂 Aneesh Chaganty,director
10196,杨德昌 Edward Yang,director
10197,皮埃尔·柯芬 Pierre Coffin,director
10198,安德鲁·尼科尔 Andrew Niccol,director
10199,托马斯·温特伯格 Thomas Vinterberg,director
10200,唐·霍尔 Don Hall,director
10201,丹尼斯·甘塞尔 Dennis Gansel,director
10202,神山征二郎 Seijirô Kôyama,director
10203,保罗·格林格拉斯 Paul Greengrass,director
10204,西德尼·吕美特 Sidney Lumet,director
10205,埃里克·托莱达诺 Eric Toledano,director
10206,忻钰坤 Yukun Xin,director
